Lemma,ID,Eng Gloss,POS,Level,Word source,Ex. ID,Form,Analysis,Example Sentence,Translation,Reference,Topic(s),
год,1,year,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",1,лет,Gen.Plur,Ване двадцать пять лет.,Vanya is 25 years old.,_,"мера, время",
год,2,year,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",2,года,Gen.Sing,Я не был в театре два года. ,I haven't been to the theatre for 2 years.,_,"мера, время",
год,3,year,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",3,году,Loc.Sing,Я родился в 1990 году. ,I was born in 1990.,_,"мера, время",
человек,4,person,N.Masc.Anim,A1,"Golosa, MiP, LM, МН",1,люди,Nom.Plur,"Я не знаю, кто эти люди. ",I don't know who these people are.,_,люди,
человек,5,person,N.Masc.Anim,A1,"Golosa, MiP, LM, МН",2,человек,Nom.Sing,Этот человек хорошо играет в шахматы. ,This person plays chess well.,_,люди,
человек,6,person,N.Masc.Anim,A1,"Golosa, MiP, LM, МН",3,человека,Gen.Sing,Я не знаю этого человека. ,I don't know that person.,_,люди,
брать,7,take,V,A1,"Golosa, MiP, LM, МН, Поехали",1,брать,Imperf.Inf,Он не любит брать деньги в долг. ,He doesn't like to borrow money.,_,"общение, магазин",
брать,8,take,V,A1,"Golosa, MiP, LM, МН, Поехали",2,берёт,Imperf.Sing.3,Она всегда берёт в магазине молоко. ,She always gets milk at the grocery store.,_,"общение, магазин",
брать,9,take,V,A1,"Golosa, MiP, LM, МН, Поехали",3,брали,Imperf.Plur.Past,"Она не была высокой, поэтому её не брали в баскетбольную команду. ","She wasn't tall, so she wasn't chosen for the basketball team.",_,"общение, магазин",
взять,10,take,V,A1,"LM, МН, Поехали",1,взять,Perf.Inf,"На улице дождь, надо взять зонт. ","It's raining outside, we need to take an umbrella.",_,"общение, магазин",
взять,11,take,V,A1,"LM, МН, Поехали",2,взял,Perf.Masc.Sing.Past,"Хорошо, что он взял с собой куртку. На улице холодно. ",Good that he took his coat with him. It's cold outside.,_,"общение, магазин",
взять,12,take,V,A1,"LM, МН, Поехали",3,взяли,Perf.Plur.Past,В Барселону мы взяли самый большой чемодан.,We took the biggest suitcase with us to Barcelona.,_,"общение, магазин",
время,13,time,N.Neut.Inan,A1,"Golosa, MiP, LM, МН",1,время,Acc.Sing,Я не люблю тратить время на покупки.,I don't like to spend time on shopping.,_,время,
время,14,time,N.Neut.Inan,A1,"Golosa, MiP, LM, МН",2,времени,Gen.Sing,У меня мало свободного времени.,I don't have much free time.,_,время,
время,15,time,N.Neut.Inan,A1,"Golosa, MiP, LM, МН",3,временем,Ins.Sing,Со временем ещё больше людей будут жить в городах.,With time more and more people will live in cities.,_,время,
вопрос,16,question,N.Masc.Inan,A1,"Golosa, MiP, МН, Поехали",1,вопрос,Nom.Sing,"Быть или не быть, вот в чём вопрос. ","To be, or not to be, that is the question.","Hamlet's soliloquy. 'Hamlet', W. Shakespeare ",люди,
вопрос,17,question,N.Masc.Inan,A1,"Golosa, MiP, МН, Поехали",2,вопросы,Acc.Plur,Никто не может ответить на мои вопросы. ,Nobody can answer my questions. ,_,люди,
вопрос,18,question,N.Masc.Inan,A1,"Golosa, MiP, МН, Поехали",3,вопросов,Gen.Plur,У нас много вопросов к президенту.,We have many questions for the president.,_,люди,
раз,19,time,N.Masc.Inan,A1,"LM, МН",1,раз,Acc.Sing,"Я помню, как увидел Эйфелеву башню в первый раз.",I remember the first time I saw the Eiffel tower.,_,"мера, время",
раз,20,time,N.Masc.Inan,A1,"LM, МН",2,раза,Gen.Sing,Нам повторили вопрос два раза: по-русски и по-английски. ,They repeated their question twice: in Russian and in English.,_,"мера, время",
раз,21,time,N.Masc.Inan,A1,"LM, МН",3,разу,Gen.Sing,Я ни разу в жизни не видела жирафа. ,I have never seen a giraffe in my life. ,_,"мера, время",
жизнь,22,life,N.Fem.Inan,A1,"MiP, LM, МН",1,жизни,Gen.Sing,На Марсе нет жизни.,There's no life on Mars.,_,"время, люди",
жизнь,23,life,N.Fem.Inan,A1,"MiP, LM, МН",2,жизнь,Acc.Sing,Всю жизнь он работает в школе.,He has worked at school all his life.,_,"время, люди",
жизнь,24,life,N.Fem.Inan,A1,"MiP, LM, МН",3,жизнью,Ins.Sing,Я доволен своей жизнью.,I am satisfied with my life.,_,"время, люди",
работа,25,work,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",1,работы,Gen.Sing,Сейчас у меня нет работы.,I don't have a job now.,_,учёба/работа,
работа,26,work,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",2,работу,Acc.Sing,Она ищет работу через интернет. ,She is looking for a job on the internet.,_,учёба/работа,
работа,27,work,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",3,работа,Nom.Sing,Моя работа мне не нравится.,I don't like my job.,_,учёба/работа,
видеть,28,see,V,A1,"Golosa, MiP, LM, МН, Поехали",1,видел,Imperf.Masc.Sing.Past,Он видел Тауэрский мост. ,He saw the Tower bridge.,_,внутренний мир,
видеть,29,see,V,A1,"Golosa, MiP, LM, МН, Поехали",2,вижу,Imperf.Sing.1,Я не вижу звёзд. Слишком светло. ,I don't see the stars. It's too bright.,_,внутренний мир,
видеть,30,see,V,A1,"Golosa, MiP, LM, МН, Поехали",3,видеть,Imperf.Inf,Очки помогают людям видеть.,Glasses help people to see.,_,внутренний мир,
день,31,day,N.Masc.Inan,A1,"MiP, LM, МН",1,день,Acc.Sing,Это лекарство следует принимать два раза в день. ,You should take this medicine twice a day. ,_,"мера, время",
день,32,day,N.Masc.Inan,A1,"MiP, LM, МН",2,дня,Gen.Sing,Через три дня у нас экзамен. Надо готовиться!,We have an exam in three days. We need to study!,_,"мера, время",
день,33,day,N.Masc.Inan,A1,"MiP, LM, МН",3,дней,Gen.Plur,Нас не будет в городе несколько дней. ,We won't be in the city for several days.,_,"мера, время",
ребенок,34,child,N.Masc.Anim,A1,"LM, МН",1,детей,Gen.Plur,В нашей семье много детей. ,There are many children in our family.,_,"люди, здоровье",
ребенок,35,child,N.Masc.Anim,A1,"LM, МН",2,дети,Nom.Plur,Почему дети любят конфеты и не любят брокколи?,Why is it children like sweets and don't like broccoli?,_,"люди, здоровье",
ребенок,36,child,N.Masc.Anim,A1,"LM, МН",3,ребёнка,Gen.Sing,Я не могу найти своего ребёнка в толпе!,I can't find my child in the crowd!,_,"люди, здоровье",
страна,37,country,N.Fem.Inan,A1,"Golosa, MiP, МН",1,страны,Gen.Sing,После революции много учёных уехало из страны.,After the revolution many scientists left the country.,_,"люди, путешествие, политика",
страна,38,country,N.Fem.Inan,A1,"Golosa, MiP, МН",2,стране,Loc.Sing,В нашей стране много нефти. ,There is a lot of oil in our country.,_,"люди, путешествие, политика",
страна,39,country,N.Fem.Inan,A1,"Golosa, MiP, МН",3,стран,Gen.Plur,Люди из разных стран приехали в Россию на чемпионат мира по футболу.,People from different countries came to Russia to watch the World Cup.,_,"люди, путешествие, политика",
другой,40,other,N.Masc.Anim,A1,"Golosa, MiP, LM, МН",1,других,Acc.Plur,"Этих собак мы уже видели, покажите нам других. ","We already saw these dogs, show us the others.",_,описание,
другой,41,other,N.Masc.Anim,A1,"Golosa, MiP, LM, МН",2,другому,Dat.Sing,Вчера моя жена ушла от меня к другому.,Yesterday my wife left me to be with someone else.,_,описание,
другой,42,other,A,A1,"Golosa, MiP, LM, МН",3,другом,Loc.Masc.Sing,"Здесь хлеб стоит пятьдесят рублей, а в другом магазине — сорок.","Bread here costs 50 roubles, and in the other shop it costs 40 roubles.",_,описание,
мир,43,world,N.Masc.Inan,A1,"LM, МН",1,мира,Gen.Sing,Этот человек был из другого мира. ,This person was from a different world.,_,"люди, путешествие",
мир,44,world,N.Masc.Inan,A1,"LM, МН",2,мире,Loc.Sing,"В мире животных не существует чувств, а есть только инстинкты.","There are no feelings in the animal world, only instincts.",_,"люди, путешествие",
мир,45,world,N.Masc.Inan,A1,"LM, МН",3,мир,Nom.Sing,С появлением интернета мир значительно изменился.,The world changed radically with the invention of the internet.,_,"люди, путешествие",
новый,46,new,A,A1,"Golosa, MiP, LM, МН",1,новых,Gen.Plur,В этой библиотеке сосем нет новых книг.,There aren’t any new books in this library.,_,время,
новый,47,new,A,A1,"Golosa, MiP, LM, МН",2,новые,Nom.Plur,В нашем университете в этом году появились новые факультеты.,There are new academic departments at our university this year.,_,время,
новый,48,new,A,A1,"Golosa, MiP, LM, МН",3,новый,Nom.Masc.Sing,Теперь историю у нас будет вести новый преподаватель.,History now will be taught by a new teacher.,_,время,
место,49,place,N.Neut.Inan,A1,"Golosa, MiP, LM, МН",1,место,Acc.Sing,"Он соглашался работать по выходным, потому что боялся потерять место в хорошей компании.",He agreed to work on weekends because he was afraid of losing his position in a good company.,_,путешествие,
место,50,place,N.Neut.Inan,A1,"Golosa, MiP, LM, МН",2,месте,Loc.Sing,Я всегда плохо сплю на новом месте.,I always sleep badly in a new place,_,путешествие,
место,51,place,N.Neut.Inan,A1,"Golosa, MiP, LM, МН",3,места,Gen.Sing,"Я не мог сдвинуть шкаф с места, такой он был тяжёлый!","I couldn't move the wardrobe, it was so heavy.",_,путешествие,
рука,52,hand,N.Fem.Inan,A1,"MiP, LM, МН, Кс",1,руку,Acc.Sing,Дай мне руку! Я не могу подняться.,Give me a hand! I can't stand up.,_,"люди, здоровье",
рука,53,hand,N.Fem.Inan,A1,"MiP, LM, МН, Кс",2,руки,Acc.Plur,"Возьмите друг друга за руки, мы будем танцевать!","Take each other's hands, we are going to dance!",_,"люди, здоровье",
рука,54,hand,N.Fem.Inan,A1,"MiP, LM, МН, Кс",3,руках,Loc.Plur,"Когда я его увидел, он держал в руках маленького котёнка.","When I saw him, he was holding a little kitten in his hands.",_,"люди, здоровье",
встречать,55,meet,V,A1,"MiP, LM, МН",1,встречать,Imperf.Inf,Я еду в аэропорт встречать своих друзей.,I'm going to the airport to pick up my friends.,_,"люди, общение",
встречать,56,meet,V,A1,"MiP, LM, МН",2,встречал,Imperf.Masc.Sing.Past,"Когда я жил в Париже, я часто встречал его в кафе.",I often met him in the cafe while I was living in Paris.,_,"люди, общение",
встречать,57,meet,V,A1,"MiP, LM, МН",3,встречали,Imperf.Plur.Past,По дороге домой мы часто встречали Петю.,We often met Petya on our way home.,_,"люди, общение",
хороший,58,good,A,A1,"Golosa, MiP, LM, МН",1,лучше,Comparative,"Маша готовит лучше, чем Ваня.",Masha cooks better than Vanya.,_,описание,
хороший,59,good,A,A1,"Golosa, MiP, LM, МН",2,хорошо,Adverb,Он хорошо поёт.,He sings well.,_,описание,
хороший,60,good,A,A1,"Golosa, MiP, LM, МН",3,хороший,Nom.Masc.Sing,Вася — хороший друг.,Vasya is a good friend.,_,описание,
слово,61,word,N.Neut.Inan,A1,"Golosa, MiP, LM, МН",1,слово,Nom.Sing,В начале было слово.,In the beginning was the word.,John 1:1,"люди, общение",
слово,62,word,N.Neut.Inan,A1,"Golosa, MiP, LM, МН",2,слова,Gen.Sing,Значение этого слова неизвестно.,The meaning of this word is unknown.,_,"люди, общение",
слово,63,word,N.Neut.Inan,A1,"Golosa, MiP, LM, МН",3,слов,Gen.Plur,Это так красиво! У меня нет слов!,It's so beautiful! I have no words!,_,"люди, общение",
дом,64,house,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",1,дома,Gen.Sing,"Я уже вышел из дома, когда вспомнил, что не взял зонтик. ","I had already left my house, when I remembered that I hadn't taken an umbrella. ",_,"люди, жильё",
дом,65,house,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",2,доме,Loc.Sing,Мы купили квартиру в этом доме.,We bought an apartment in this building.,_,"люди, жильё",
дом,66,house,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",3,дом,Nom.Sing,Мой дом — моя крепость.,My house is my castle.,_,"люди, жильё",
школа,67,school,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",1,школе,Loc.Sing,В нашей школе 800 учеников.,There are 800 students in our school.,_,"люди, учёба/работа",
школа,68,school,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",2,школу,Acc.Sing,Я люблю свою школу.,I love my school.,_,"люди, учёба/работа",
школа,69,school,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",3,школы,Gen.Sing,После школы я поступила в университет.,After finishing school I entered university.,_,"люди, учёба/работа",
женщина,70,woman,N.Fem.Anim,A1,"Golosa, MiP, LM, МН",1,женщина,Nom.Sing,Кто эта женщина?,Who is that woman?,_,люди,
женщина,71,woman,N.Fem.Anim,A1,"Golosa, MiP, LM, МН",2,женщины,Nom.Plur,Эти женщины — мои учителя.,These women are my teachers.,_,люди,
женщина,72,woman,N.Fem.Anim,A1,"Golosa, MiP, LM, МН",3,женщин,Gen.Plur,В Иране есть вагоны метро только для женщин.,"There are special ""women only"" cars in the Iranian metro.",_,люди,
нужный,73,needed,A,A1,МН,1,нужно,Neut.Sing,Высшее образование ему не нужно.,He doesn't need higher education.,_,"внутренний мир, учёба/работа",
нужный,74,needed,A,A1,МН,2,нужна,Fem.Sing,"Мне нужна вода, здесь очень жарко.",I need water -- it's very hot here.,_,"внутренний мир, учёба/работа",
нужный,75,needed,A,A1,МН,3,нужны,Plur,Мне не нужны проблемы.,I don't need any problems.,_,"внутренний мир, учёба/работа",
проблема,76,problem,N.Fem.Inan,A1,"MiP, LM, МН",1,проблема,Nom.Sing,Глобальное потепление — проблема для всего мира.,Global warming is a problem for the whole world.,_,"люди, здоровье",
проблема,77,problem,N.Fem.Inan,A1,"MiP, LM, МН",2,проблем,Gen.Plur,У меня на работе много проблем.,I have many problems at work.,_,"люди, здоровье",
проблема,78,problem,N.Fem.Inan,A1,"MiP, LM, МН",3,проблемы,Nom.Plur,Проблемы других его не интересуют.,The problems of others don't interest him.,_,"люди, здоровье",
друг,79,friend,N.Masc.Anim,A1,"Golosa, MiP, LM, МН",1,друг,Nom.Sing,Вася — мой лучший друг.,Vasya is my best friend.,_,люди,
друг,80,friend,N.Masc.Anim,A1,"Golosa, MiP, LM, МН",2,друзья,Nom.Plur,Мои друзья — моё богатство.,My friends are my treasure.,_,люди,
друг,81,friend,N.Masc.Anim,A1,"Golosa, MiP, LM, МН",3,друзей,Gen.Plur,"Не имей сто рублей, а имей сто друзей.",It's better to have 100 friends than 100 roubles.,_,люди,
лицо,82,face,N.Neut.Inan,A1,МН,1,лицо,Acc.Sing,Летом важно защищать лицо от солнца.,It's important to protect your face from sun during summer.,_,"люди, здоровье, учёба/работа",
лицо,83,face,N.Neut.Inan,A1,МН,2,лицом,Ins.Sing,Они объединились перед лицом опасности. ,They united in the face of danger.,_,"люди, здоровье, учёба/работа",
лицо,84,face,N.Neut.Inan,A1,МН,3,лица,Gen.Sing,На переговорах с новыми партнерами я должен был говорить от лица всей нашей компании.,I had to talk with our new partners at the meeting on behalf of our company.,_,"люди, здоровье, учёба/работа",
деньги,85,money,N.Inan,A1,"Golosa, MiP, LM, МН",1,деньги,Acc.Plur,"Я забыл дома деньги, придётся возвращаться.",I forgot my money at home so I have to go back.,_,"люди, учёба/работа",
деньги,86,money,N.Inan,A1,"Golosa, MiP, LM, МН",2,денег,Gen.Plur,У меня нет денег на машину.,I don't have money to buy a car.,_,"люди, учёба/работа",
деньги,87,money,N.Inan,A1,"Golosa, MiP, LM, МН",3,деньгами,Ins.Plur,В этом магазине можно расплатиться только наличными деньгами.,You can only pay in cash in this shop.,_,"люди, учёба/работа",
фильм,88,film,N.Masc.Inan,A1,"MiP, LM, МН",1,фильм,Nom.Sing,Этот фильм вышел в 2010 году.,This film was made in 2010.,_,свободное время,
фильм,89,film,N.Masc.Inan,A1,"MiP, LM, МН",2,фильма,Gen.Sing,Режиссёр этого фильма — Джеймс Кэмерон.,James Cameron is the director of this film.,_,свободное время,
фильм,90,film,N.Masc.Inan,A1,"MiP, LM, МН",3,фильме,Loc.Sing,В этом фильме снималась Джулия Робертс.,Julia Roberts starred in this film. ,_,свободное время,
город,91,city,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",1,городе,Loc.Sing,В этом городе всего два кинотеатра.,There are only two movie theaters in this town.,_,"люди, путешествие",
город,92,city,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",2,города,Gen.Sing,"Выпало много снега, поэтому мы долго не могли выехать из города.","There was a lot of snow, so it took us long to get out of the city.",_,"люди, путешествие",
город,93,city,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",3,город,Nom.Sing,Москва — мой любимый город!,Moscow is my favorite city.,_,"люди, путешествие",
часть,94,part,N.Fem.Inan,A1,"MiP, МН",1,часть,Nom.Sing,Общение — важная часть нашей жизни.,Communication is an important part of our life.,_,мера,
часть,95,part,N.Fem.Inan,A1,"MiP, МН",2,части,Gen.Sing,Я ещё не видел второй части этого фильма.,I haven't seen the second part of this film yet.,_,мера,
часть,96,part,N.Fem.Inan,A1,"MiP, МН",3,частью,Ins.Sing,Спорт стал частью моей жизни.,Sport became a part of my life.,_,мера,
глаз,97,eye,N.Masc.Inan,A1,"MiP, LM, МН",1,глаза,Acc.Plur,"Когда врёшь, сложно смотреть людям в глаза.","When you are lying, it's difficult to look people in the eyes.",_,"люди, здоровье",
глаз,98,eye,N.Masc.Inan,A1,"MiP, LM, МН",2,глазами,Ins.Plur,Неправда! Я видел это своими глазами!,That's not true! I saw it with my own eyes!,_,"люди, здоровье",
глаз,99,eye,N.Masc.Inan,A1,"MiP, LM, МН",3,глазах,Loc.Plur,В её глазах я видел грусть.,I saw sadness in her eyes.,_,"люди, здоровье",
большой,100,big,A,A1,"Golosa, MiP, LM, МН, Поехали",1,большая,Nom.Fem.Sing,У меня большая проблема: я не успеваю в аэропорт!,I have a big problem: I can't get to the airport on time.,_,мера,
большой,101,big,A,A1,"Golosa, MiP, LM, МН, Поехали",2,большой,Nom.Masc.Sing,Большой брат следит за тобой.,Big brother is watching you.,"G. Orwell ""1984""",мера,
большой,102,big,A,A1,"Golosa, MiP, LM, МН, Поехали",3,больше,Comparative,Арбуз больше яблока.,A watermelon is bigger than an apple.,_,мера,
конец,103,end,N.Masc.Inan,A1,МН,1,конце,Loc.Sing,В конце ужина нам подавали десерт.,Dessert was served at the end of the dinner.,_,мера,
конец,104,end,N.Masc.Inan,A1,МН,2,конца,Gen.Sing,Я больше не буду путешествовать с Катей: она без конца ноет!,I will never travel with Katya again: she whines endlessly!,_,мера,
конец,105,end,N.Masc.Inan,A1,МН,3,концов,Gen.Plur,Поможет мне кто-нибудь в конце концов?!,Will anybody help me finally?!,_,мера,
голова,106,head,N.Fem.Inan,A1,"MiP, LM, МН, Кс",1,голову,Acc.Sing,Мне в голову пришла великолепная идея.,A great idea came to my mind.,_,"люди, здоровье",
голова,107,head,N.Fem.Inan,A1,"MiP, LM, МН, Кс",2,головой,Ins.Sing,Он покачал головой в знак неодобрения.,He shook his head as a sign of disapproval.,_,"люди, здоровье",
голова,108,head,N.Fem.Inan,A1,"MiP, LM, МН, Кс",3,голове,Loc.Sing,Тревожные мысли в голове мешали мне спать.,Upsetting thoughts in my head didn't let me sleep.,_,"люди, здоровье",
язык,109,language,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",1,языка,Gen.Sing,Я хожу на курсы русского языка. Мне нравится.,I go to Russian language courses. I like it.,_,"люди, путешествие, здоровье",
язык,110,language,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",2,языке,Loc.Sing,"В русском языке существительные трёх родов: мужского, женского и среднего.","There are nouns of three genders in Russian: masculine, feminine and neuter.",_,"люди, путешествие, здоровье",
язык,111,language,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",3,язык,Nom.Sing,Русский язык — официальный язык Российской Федерации.,Russian is the official language of Russian Federation.,_,"люди, путешествие, здоровье",
форма,112,form,N.Fem.Inan,A1,"LM, МН",1,форме,Loc.Sing,"Перед нами стоял человек в форме, но мы не сразу поняли, что это полицейский.",There was a man in uniform in front of us but but we didn’t realize straight away that he was a policeman.,_,мера,
форма,113,form,N.Fem.Inan,A1,"LM, МН",2,форм,Gen.Plur,В путешествии по Мексике я видел кактусы удивительных форм.,While traveling in Mexico I saw cacti with strange shapes.,_,мера,
форма,114,form,N.Fem.Inan,A1,"LM, МН",3,форма,Nom.Sing,"Мне не нравится форма, в которой это написано.",I don't like the form in which it's written. ,_,мера,
число,115,number,N.Neut.Inan,A1,"MiP, МН",1,числе,Loc.Sing,Прилагательное «большие» стоит во множественном числе.,The adjective «большие» is a plural form.,_,"мера, время",
число,116,number,N.Neut.Inan,A1,"MiP, МН",2,число,Nom.Sing,"Число Пи равно 3,1415. ",The number Pi equals 3.1415.,_,"мера, время",
число,117,number,N.Neut.Inan,A1,"MiP, МН",3,числа,Gen.Sing,"Он был из числа тех людей, которые постоянно опаздывают.",He was one of those people who are always late.,_,"мера, время",
вода,118,water,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",1,воды,Gen.Sing,У нас дома уже две недели нет горячей воды.,We haven’t had hot water at home for 2 weeks already.,_,еда,
вода,119,water,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",2,воду,Acc.Sing,Я не пью воду с газом.,I don't drink sparkling water.,_,еда,
